Classifier,Emb,Acc,Prec,Recall,F1,AUC
,trex,0.5222943722943724,0.407056277056277,0.5304093567251462,0.33590306870856074,0.5304093567251462
,bert,0.4867965367965367,0.42974025974025976,0.4692982456140351,0.3556853440890123,0.4692982456140351
,cc2vec,0.575108225108225,0.46181936849700006,0.5383040935672515,0.4039829143209537,0.5383040935672515
,doc2vec,0.40974025974025974,0.22559794372294376,0.5118421052631579,0.2602298136645963,0.5118421052631579
,word2vec,0.5443722943722944,0.36471119158619153,0.5254385964912281,0.35732839585109405,0.5254385964912281
